
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    0.0.0.0:135            0.0.0.0:0              LISTENING       2168
  TCP    0.0.0.0:445            0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5040           0.0.0.0:0              LISTENING       9912
  TCP    0.0.0.0:5357           0.0.0.0:0              LISTENING       4
  TCP    0.0.0.0:5432           0.0.0.0:0              LISTENING       4176
  TCP    0.0.0.0:6881           0.0.0.0:0              LISTENING       11648
  TCP    0.0.0.0:7680           0.0.0.0:0              LISTENING       3100
  TCP    0.0.0.0:19575          0.0.0.0:0              LISTENING       11648
  TCP    0.0.0.0:19576          0.0.0.0:0              LISTENING       11648
  TCP    0.0.0.0:19577          0.0.0.0:0              LISTENING       11648
  TCP    0.0.0.0:49664          0.0.0.0:0              LISTENING       2020
  TCP    0.0.0.0:49665          0.0.0.0:0              LISTENING       1840
  TCP    0.0.0.0:49666          0.0.0.0:0              LISTENING       3796
  TCP    0.0.0.0:49667          0.0.0.0:0              LISTENING       4140
  TCP    0.0.0.0:49668          0.0.0.0:0              LISTENING       5388
  TCP    0.0.0.0:49669          0.0.0.0:0              LISTENING       5864
  TCP    0.0.0.0:49670          0.0.0.0:0              LISTENING       1988
  TCP    0.0.0.0:49671          0.0.0.0:0              LISTENING       5864
  TCP    0.0.0.0:49672          0.0.0.0:0              LISTENING       5864
  TCP    0.0.0.0:49673          0.0.0.0:0              LISTENING       5856
  TCP    0.0.0.0:49674          0.0.0.0:0              LISTENING       5856
  TCP    0.0.0.0:49675          0.0.0.0:0              LISTENING       5856
  TCP    0.0.0.0:49676          0.0.0.0:0              LISTENING       5856
  TCP    0.0.0.0:49677          0.0.0.0:0              LISTENING       5856
  TCP    0.0.0.0:49678          0.0.0.0:0              LISTENING       5856
  TCP    0.0.0.0:55883          0.0.0.0:0              LISTENING       16852
  TCP    10.1.217.183:139       0.0.0.0:0              LISTENING       4
  TCP    10.1.217.183:7680      10.1.217.86:61983      TIME_WAIT       0
  TCP    10.1.217.183:7680      10.1.237.63:63028      TIME_WAIT       0
  TCP    10.1.217.183:49538     4.213.25.240:443       ESTABLISHED     6044
  TCP    10.1.217.183:50160     142.250.206.78:443     ESTABLISHED     26568
  TCP    10.1.217.183:50183     104.18.38.236:443      ESTABLISHED     18100
  TCP    10.1.217.183:51695     34.36.57.103:443       ESTABLISHED     26568
  TCP    10.1.217.183:53239     104.215.18.215:443     ESTABLISHED     23044
  TCP    10.1.217.183:53397     92.223.116.252:80      SYN_SENT        5952
  TCP    10.1.217.183:53398     34.54.84.110:443       ESTABLISHED     29128
  TCP    10.1.217.183:54204     10.1.10.253:53         TIME_WAIT       0
  TCP    10.1.217.183:54205     20.37.198.118:443      ESTABLISHED     29760
  TCP    10.1.217.183:54218     34.54.84.110:443       TIME_WAIT       0
  TCP    10.1.217.183:54219     4.213.25.241:443       ESTABLISHED     17608
  TCP    10.1.217.183:54220     52.106.13.5:443        ESTABLISHED     17608
  TCP    10.1.217.183:55914     160.79.104.10:443      ESTABLISHED     26568
  TCP    10.1.217.183:56394     104.18.38.236:443      ESTABLISHED     18100
  TCP    10.1.217.183:56954     72.154.7.16:443        TIME_WAIT       0
  TCP    10.1.217.183:56958     72.154.7.110:443       TIME_WAIT       0
  TCP    10.1.217.183:56959     34.54.84.110:443       TIME_WAIT       0
  TCP    10.1.217.183:56972     34.54.84.110:443       TIME_WAIT       0
  TCP    10.1.217.183:57269     142.251.12.188:443     ESTABLISHED     26568
  TCP    10.1.217.183:57741     216.239.32.223:443     ESTABLISHED     29128
  TCP    10.1.217.183:58343     104.26.2.143:443       ESTABLISHED     26568
  TCP    10.1.217.183:61249     104.17.24.14:443       ESTABLISHED     26568
  TCP    10.1.217.183:61701     34.54.84.110:443       TIME_WAIT       0
  TCP    10.1.217.183:61920     160.79.104.10:443      ESTABLISHED     26568
